diag_3,diag_3_id
250,1
401,2
276,3
428,4
427,5
414,6
496,7
403,8
585,9
272,10
599,11
?,12
V45,13
250.02,14
707,15
780,16
285,17
425,18
250.6,19
424,20
584,21
305,22
250.01,23
682,24
518,25
41,26
493,27
278,28
530,29
786,30
491,31
486,32
244,33
V58,34
250.4,35
411,36
280,37
357,38
287,39
785,40
197,41
511,42
402,43
787,44
788,45
412,46
593,47
V15,48
413,49
438,50
998,51
250.8,52
294,53
799,54
571,55
560,56
295,57
995,58
997,59
789,60
458,61
535,62
70,63
996,64
426,65
536,66
263,67
578,68
V42,69
300,70
V10,71
198,72
784,73
396,74
440,75
E849,76
311,77
715,78
296,79
V43,80
453,81
410,82
303,83
112,84
443,85
V12,86
733,87
250.41,88
790,89
8,90
562,91
730,92
331,93
162,94
416,95
492,96
342,97
E878,98
38,99
304,100
515,101
397,102
577,103
250.92,104
724,105
729,106
433,107
250.7,108
553,109
591,110
284,111
574,112
250.03,113
781,114
466,115
E888,116
250.42,117
250.51,118
564,119
731,120
286,121
404,122
202,123
722,124
782,125
E885,126
250.82,127
288,128
250.5,129
794,130
710,131
558,132
648,133
569,134
728,135
196,136
459,137
211,138
337,139
581,140
V85,141
719,142
583,143
301,144
332,145
596,146
437,147
348,148
V09,149
507,150
275,151
714,152
455,153
293,154
290,155
327,156
600,157
716,158
242,159
681,160
250.52,161
E932,162
465,163
255,164
274,165
203,166
204,167
429,168
362,169
592,170
135,171
292,172
568,173
340,174
V46,175
344,176
E879,177
250.43,178
435,179
V54,180
473,181
783,182
434,183
490,184
482,185
153,186
V49,187
441,188
218,189
721,190
E942,191
573,192
595,193
572,194
185,195
250.81,196
531,197
625,198
590,199
253,200
79,201
576,202
199,203
V64,204
309,205
444,206
575,207
291,208
174,209
517,210
282,211
924,212
345,213
250.12,214
289,215
447,216
E947,217
298,218
873,219
157,220
456,221
277,222
512,223
V27,224
807,225
281,226
238,227
250.53,228
346,229
726,230
519,231
415,232
642,233
338,234
368,235
478,236
812,237
537,238
727,239
614,240
723,241
333,242
E935,243
618,244
626,245
555,246
620,247
V62,248
532,249
398,250
616,251
446,252
805,253
319,254
189,255
V44,256
659,257
999,258
E880,259
356,260
588,261
369,262
53,263
617,264
711,265
423,266
E884,267
442,268
920,269
V65,270
252,271
533,272
567,273
42,274
696,275
738,276
457,277
E934,278
736,279
V17,280
959,281
138,282
94,283
E812,284
824,285
461,286
802,287
E944,288
250.83,289
737,290
386,291
250.1,292
601,293
110,294
E939,295
205,296
745,297
343,298
808,299
813,300
365,301
V08,302
646,303
820,304
V66,305
355,306
250.11,307
611,308
923,309
487,310
394,311
266,312
462,313
E950,314
627,315
358,316
725,317
349,318
709,319
905,320
922,321
477,322
792,323
307,324
556,325
E933,326
693,327
692,328
753,329
E930,330
188,331
552,332
261,333
250.22,334
586,335
V18,336
250.93,337
54,338
183,339
664,340
382,341
663,342
791,343
494,344
312,345
713,346
598,347
654,348
521,349
389,350
621,351
840,352
501,353
V63,354
557,355
796,356
150,357
154,358
454,359
608,360
514,361
516,362
570,363
155,364
582,365
V14,366
201,367
E931,368
647,369
250.13,370
378,371
283,372
310,373
680,374
273,375
522,376
656,377
351,378
317,379
694,380
916,381
686,382
E928,383
698,384
380,385
607,386
208,387
420,388
958,389
969,390
241,391
279,392
883,393
823,394
867,395
432,396
151,397
695,398
E816,399
318,400
741,401
250.9,402
405,403
580,404
836,405
260,406
845,407
747,408
E881,409
907,410
718,411
579,412
200,413
892,414
451,415
594,416
746,417
354,418
945,419
705,420
649,421
704,422
861,423
V55,424
262,425
250.2,426
793,427
V72,428
372,429
436,430
962,431
610,432
E819,433
825,434
708,435
V53,436
179,437
717,438
225,439
117,440
E870,441
383,442
V57,443
359,444
251,445
712,446
270,447
431,448
228,449
991,450
E936,451
652,452
E927,453
965,454
658,455
E929,456
V16,457
366,458
605,459
644,460
246,461
E938,462
421,463
917,464
239,465
34,466
227,467
821,468
909,469
660,470
250.91,471
758,472
810,473
619,474
527,475
756,476
297,477
131,478
701,479
881,480
860,481
934,482
882,483
379,484
E887,485
E937,486
751,487
623,488
V13,489
481,490
V03,491
847,492
182,493
752,494
508,495
306,496
815,497
V61,498
334,499
464,500
E906,501
191,502
908,503
506,504
472,505
256,506
220,507
336,508
9,509
E850,510
891,511
172,512
742,513
510,514
163,515
566,516
E941,517
665,518
233,519
913,520
388,521
240,522
921,523
831,524
915,525
156,526
313,527
180,528
495,529
910,530
865,531
V02,532
452,533
523,534
170,535
500,536
299,537
826,538
653,539
E917,540
171,541
259,542
V60,543
850,544
35,545
604,546
801,547
323,548
250.21,549
543,550
550,551
347,552
V23,553
E818,554
235,555
335,556
661,557
528,558
565,559
141,560
E858,561
906,562
525,563
353,564
720,565
470,566
E920,567
E956,568
314,569
912,570
534,571
933,572
E916,573
132,574
529,575
245,576
759,577
816,578
417,579
5,580
866,581
685,582
268,583
E980,584
214,585
862,586
161,587
445,588
842,589
919,590
152,591
E905,592
966,593
703,594
852,595
E943,596
78,597
V86,598
851,599
258,600
655,601
373,602
844,603
173,604
918,605
E813,606
797,607
624,608
953,609
136,610
384,611
V06,612
E852,613
911,614
E855,615
216,616
967,617
868,618
735,619
956,620
223,621
E924,622
377,623
989,624
848,625
870,626
597,627
192,628
11,629
814,630
139,631
800,632
822,633
483,634
670,635
E919,636
948,637
376,638
643,639
250.23,640
480,641
943,642
430,643
88,644
706,645
271,646
854,647
V11,648
E901,649
734,650
795,651
V70,652
250.3,653
350,654
928,655
7,656
690,657
3,658
374,659
V25,660
460,661
E946,662
E817,663
702,664
864,665
360,666
641,667
341,668
E883,669
V07,670
E949,671
E865,672
987,673
890,674
E864,675
391,676
E876,677
992,678
E826,679
V22,680
E886,681
186,682
684,683
893,684
E912,685
47,686
E825,687
754,688
657,689
E822,690
484,691
315,692
E853,693
970,694
877,695
622,696
538,697
863,698
972,699
146,700
370,701
475,702
14,703
971,704
697,705
122,706
872,707
387,708
49,709
671,710
E922,711
395,712
603,713
942,714
879,715
365.44,716
250.31,717
E915,718
463,719
123,720
217,721
750,722
E965,723
193,724
955,725
E904,726
871,727
158,728
E815,729
524,730
930,731
E945,732
381,733
E882,734
175,735
837,736
226,737
841,738
361,739
E828,740
980,741
E861,742
215,743
V01,744
164,745
485,746
66,747
E854,748
17,749
542,750
243,751
57,752
602,753
540,754
935,755
148,756
944,757
880,758
230,759
952,760
E892,761
E900,762
838,763
755,764
853,765
E955,766
951,767
E966,768
876,769
744,770
884,771
111,772
236,773
385,774
811,775
27,776
115,777
E894,778
757,779
732,780
875,781
75,782
E987,783
195,784
834,785
448,786
674,787
265,788
308,789
669,790
